"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3464","Verify login with valid and invalid credentials","","2026-07-08","passed","2026-07-08","","","",""
"","3780","Verify login with valid and invalid credentials","","2026-07-08","passed","2026-07-08","","","",""
"","3612","Verify login with valid and invalid credentials","","2026-07-08","passed","2026-07-08","","","",""
